season,t:game number,to:game number,t:abbreviation,to:abbreviation,t:rest,to:rest,t:goals,to:goals,shoot out,t:line,to:line,t:wins,to:wins,t:losses,to:losses,t:matchup wins,t:matchup losses,H,t.period.scores0,t.period.scores1,t.period.scores2,t.period.scores3,t.period.scores4,to.period.scores0,to.period.scores1,to.period.scores2,to.period.scores3,to.period.scores4
2016.0,62.0,63.0,NJ,MON,1,1,3,4,-,110,-120,25.0,33.0,36.0,29.0,0.0,2.0,True,1,0,2,0,-,0,0,3,1,-
2016.0,63.0,62.0,MON,NJ,1,1,4,3,-,-120,110,33.0,25.0,29.0,36.0,2.0,0.0,False,0,0,3,1,-,1,0,2,0,-
2016.0,61.0,61.0,TB,OTT,3,0,5,1,-,-180,168,27.0,33.0,33.0,27.0,1.0,1.0,True,0,4,1,-,-,1,0,0,-,-
2016.0,61.0,61.0,OTT,TB,0,3,1,5,-,168,-180,33.0,27.0,27.0,33.0,1.0,1.0,False,1,0,0,-,-,0,4,1,-,-
2016.0,60.0,62.0,MIN,LA,5,1,5,4,-,-128,118,39.0,30.0,20.0,31.0,1.0,1.0,True,1,2,1,1,-,2,1,1,0,-
2016.0,62.0,60.0,LA,MIN,1,5,4,5,-,118,-128,30.0,39.0,31.0,20.0,1.0,1.0,False,2,1,1,0,-,1,2,1,1,-
2016.0,63.0,62.0,BOS,ARI,1,1,4,1,-,-315,285,32.0,22.0,30.0,39.0,1.0,0.0,True,1,3,0,-,-,0,1,0,-,-
2016.0,62.0,63.0,ARI,BOS,1,1,1,4,-,285,-315,22.0,32.0,39.0,30.0,0.0,1.0,False,0,1,0,-,-,1,3,0,-,-
2016.0,63.0,63.0,BUF,NAS,1,1,4,5,-,122,-132,26.0,31.0,36.0,31.0,1.0,0.0,True,2,1,1,0,-,1,1,2,1,-
2016.0,63.0,63.0,NAS,BUF,1,1,5,4,-,-132,122,31.0,26.0,31.0,36.0,0.0,1.0,False,1,1,2,1,-,2,1,1,0,-
